country,iso3,year,wb_attendance_ratio,daad_female_scholarships,share_scholarships_vs_enrollment
Chile,CHL,2019,99.3416137695312,1050,10.569588716728124
Colombia,COL,2019,60.5142288208008,841,13.897557919649463
Costa Rica,CRI,2019,60.4686889648438,183,3.026359643854612
Cuba,CUB,2019,55.3528099060059,160,2.8905488316075467
Dominican Republic,DOM,2019,,204,
Ecuador,ECU,2019,50.8938789367676,385,7.564760400329044
El Salvador,SLV,2019,31.3250598907471,152,4.852345072288219
Guatemala,GTM,2019,24.2425003051758,182,7.507476444628231
Honduras,HND,2019,29.4035091400146,145,4.931384186477002
Mexico,MEX,2019,44.3526802062988,1737,39.163360408449854
Nicaragua,NIC,2019,19.8988819122314,139,6.985317095356991
Panama,PAN,2019,,148,
Paraguay,PRY,2019,,154,
Peru,PER,2019,,527,
Uruguay,URY,2019,,154,
Argentina,ARG,2020,127.155448913574,428,3.365958782394818
Barbados,BRB,2020,,27,
Belize,BLZ,2020,32.7702713012695,301,9.18515435019726
Brazil,BRA,2020,64.5541915893555,452,7.00186910983688
Chile,CHL,2020,96.7710113525391,198,2.046067280196972
Colombia,COL,2020,59.8424797058105,21,0.3509212870729515
Costa Rica,CRI,2020,,76,
Cuba,CUB,2020,59.9180793762207,83,1.385224641111238
Dominica,DMA,2020,,62,
Dominican Republic,DOM,2020,76.272819519043,59,0.7735389929471468
Ecuador,ECU,2020,63.1782112121582,157,2.485033953759464
El Salvador,SLV,2020,34.0673217773438,57,1.6731576486270017
Guatemala,GTM,2020,19.6749897003174,43,2.185515756549866
Guyana,GUY,2020,,432,
Haiti,HTI,2020,,551,
Honduras,HND,2020,,570,
Jamaica,JAM,2020,,44,
Mexico,MEX,2020,47.0619583129883,421,8.945654092847452
Nicaragua,NIC,2020,20.8144969940186,42,2.0178244044076306
Panama,PAN,2020,55.2825393676758,244,4.413690159512987
Paraguay,PRY,2020,,2015,
Peru,PER,2020,,46,
Suriname,SUR,2020,,137,
Uruguay,URY,2020,,7,
Argentina,ARG,2021,140.297622680664,590,4.205345669633464
Barbados,BRB,2021,,11,
Belize,BLZ,2021,29.7305603027344,41,1.3790523818762044
Brazil,BRA,2021,67.8096771240234,863,12.726797067940309
Chile,CHL,2021,105.963073730469,300,2.8311749502764463
Colombia,COL,2021,63.1630516052246,97,1.5357079421409168
Costa Rica,CRI,2021,,146,
Cuba,CUB,2021,66.953239440918,1054,15.742330151629009
Dominica,DMA,2021,,25,
Dominican Republic,DOM,2021,74.7958526611328,121,1.6177367553813167
Ecuador,ECU,2021,,343,
El Salvador,SLV,2021,34.1079483032227,48,1.407296609379014
Guatemala,GTM,2021,,32,
Haiti,HTI,2021,,94,
Honduras,HND,2021,,157,
Jamaica,JAM,2021,,2020,
Mexico,MEX,2021,48.4712982177734,71,1.4647843695254237
Nicaragua,NIC,2021,22.4531841278076,48,2.137781426757795
Panama,PAN,2021,65.4109191894531,40,0.6115186958945782
Paraguay,PRY,2021,,455,
Peru,PER,2021,,27,
Uruguay,URY,2021,97.0524597167969,27,0.2782000588010558
Argentina,ARG,2022,140.055480957031,,
Barbados,BRB,2022,,,
Belize,BLZ,2022,30.8004302978516,,
Brazil,BRA,2022,71.9278106689453,,
Chile,CHL,2022,108.697647094727,,
Colombia,COL,2022,64.3223495483398,,
Costa Rica,CRI,2022,,,
Cuba,CUB,2022,56.0084571838379,,
Dominica,DMA,2022,,,
Dominican Republic,DOM,2022,72.9061813354492,,
Ecuador,ECU,2022,66.8177795410156,,
El Salvador,SLV,2022,36.054370880127,,
Grenada,GRD,2022,,,
