year,field,foreign_female_by_field
2016,Educational Science (Pedagogy),3704
2016,Ethics,65
2016,Ethnology,416
2016,European Ethnology and Cultural Studies,411
2016,European Economic Studies,220
2016,"Protestant Religious Pedagogy, Church Educat. Work",5
2016,"Protestant Theology, Protes. Religious Education",284
2016,Facility Management,81
2016,Automotive Technology,265
2016,Precision Engineering,10
2016,Manufacturing Technology/Production Engineering,271
2016,Film and Television Studies,228
2016,Financial Administration,1
2016,Finno-Ugrian Studies,12
2016,"Forest Science, Forestry",384
2016,French,650
2016,Horticulture,75
2016,Geography,617
2016,Geology/Palaeontology,97
2016,Geoecology,50
2016,Geophysics,73
2016,Geosciences general,592
2016,German Studies/German,6357
2016,Singing,387
2016,History,1563
2016,Health Education,69
2016,Health Technology,896
2016,Health Science/Health Management,1659
2016,Glass Technology/Ceramics,9
2016,Graphic Design/Communication Design,1671
2016,Greek,74
2016,Primary School Education/Primary Level Education,118
2016,Domestic and Nutritional Sciences,415
2016,Domestic Science,4
2016,Wood and Fibre Technology,23
2016,Timber Construction,3
2016,Wood Science,15
2016,Metallurgy and Foundry,123
2016,Indology,20
2016,Industrial Design/Product Design,358
2016,Computer Science,4689
2016,Inf./Library Scien. (not at univ. of app.adm.sci.),153
2016,Computational Engineer./Technical Computer Science,492
2016,Interior Architecture,339
2016,Internal Administration,64
2016,Instrumental Music,2465
2016,Interdisc. Studies (specialising in Engineering),862
2016,Interdisc. Studies (special. in Natural Sciences),579
2016,"Interdisc. St. (spec. in Law, Econ. and Soc. Sci.)",1235
2016,Interdisc. Studies (spec. in Humanities),2663
2016,"Interdisc. Studies (special. in Art, Art Theory)",130
2016,International Business Studies/Management,5981
2016,Iranian Studies,45
2016,Islamic Studies/Islamic theology,132
2016,Islamic Studies,277
2016,Italian,370
2016,Japanese Studies,288
2016,Jazz and Popular Music,65
2016,Judaic Studies/Hebrew,64
2016,Law Enforcement,
2016,Cartography,77
2016,"Catholic Religious Pedagogy, Church Educat. Work",9
2016,"Catholic Theology, Catholic Religious Education",195
2016,Caucasian Studies,2
2016,Nucl.Techn./Nucl.Process Techn.(cl.w.SF211 s.2020),
2016,Church Music,63
2016,Classical Philology,54
2016,"Communication Technology, Information Engineering",531
2016,Communication Science/Journalism,1267
2016,Composition,92
2016,Arts Education,332
2016,"Art History, Art Theory",1161
2016,Plastics Technology,45
2016,Land Management Engineering/Landscape Design,220
2016,Landscape Ecology/Biogeography (ex. SF385 s. 2012),39
2016,Latin,72
2016,Latin America Studies,73
2016,Food Chemistry,144
2016,Food Technology,200
2016,Area of study: Humanities,102
2016,Area of study: Social Studies,14
2016,Area of study: Natural Sciences/General Studies,32
2016,Area of study: Technology,24
2016,Aeronautical and Aerospace Engineering,173
2016,Painting,158
2016,Mine Surveying,10
2016,Mechanical Engineering,3077
2016,Materials Engineering,173
2016,Math.Statistics/Prob.Calc. (class.w. SF312 s.2020),203
2016,Mathematics,2523
2016,Mechatronics,436
2016,Media Informatics,724
2016,Media Technology,202
2016,Media Economics/Media Management,501
2016,Media Science,975
2016,Medicine (General Medicine),6419
2016,Medical Informatics,348
2016,Metals Technology,7
2016,Meteorology,79
2016,Microelectronics,35
2016,Microsystems Technology,238
2016,Dairy Farming,10
2016,Mineralogy,21
2016,Medieval and Modern History,45
2016,Music Education,497
2016,Musicology/History of Music,538
2016,Nature Conservation,131
2016,Nautical Science/Maritime Studies,9
2016,New Media,195
2016,Modern Greek,62
2016,Non-medical Healthcare Professions/Therapies,720
2016,Low German,
2016,Dutch,35
2016,"Nordic/Scand. St. (Nord. Phil., ind. lang. n.e.c.)",95
2016,Optoelectronics,34
2016,Orchestral Music,550
2016,"Oriental Studies, Ancient Oriental Studies",211
2016,Eastern and South Eastern Europe Studies,142
2016,Oceanography,7
2016,Early Childhood Education,106
2016,Plant Production,15
2016,Nursing Science/Nursing Management,419
2016,Pharmacy,1411
2016,Philosophy,1114
2016,Physics,1973
2016,Engineering Physics/Mechanical Process Engineering,182
2016,Political Science,2564
2016,Police/Protection of the Constitution,26
2016,Polish,34
2016,Portuguese,24
2016,Psychology,4086
2016,Spatial Planning,595
2016,Administration of Justice,
2016,Law,6672
2016,Renewable Energy,80
2016,Religious Studies,165
2016,Restoration Studies,69
2016,Rhythmics,1
2016,"Romance Studies (Rom. Phil., indiv. lang. n.e.c.)",953
2016,Russian,287
2016,General Studies (including School Garden),12
2016,Drama Studies,25
2016,Naval Architecture/Ship Technology,33
2016,School Pedagogy,51
2016,Sinology/Korean Studies,541
2016,Slavic Studies (Slavic Philology),641
2016,Special Needs Education,270
2016,Other subjects,914
2016,Other regional studies,82
2016,Sorabistics,6
2016,Social Work,2202
2016,Social Studies,92
2016,Social Pedagogy,239
2016,Social Security Administration,33
2016,Applied Social Science,944
2016,Social Sciences,1504
2016,Sociology,1335
2016,Spanish,723
2016,Sports Management/Sports Economics,64
2016,Sports Education/Sports Psychology,139
2016,Sports Science,295
2016,Steel Construction,
2016,"South Slavic (Bulgar., Serbo-Croat., Slovene etc.)",5
2016,Dance Education,137
2016,Technical Cybernetics,16
2016,Technomathematics,68
2016,Textile Design,475
2016,Textile and Clothing Technology/Industry,338
2016,Theatre Studies,313
2016,Veterinary Medicine,434
2016,Animal Production,22
2016,Sound Engineering,18
2016,Tourism Management,765
2016,Transport and Conveying Technology,11
2016,Czech,11
2016,Turkish Studies,129
2016,Environmental Protection,265
2016,Environmental Technology (including Recycling),596
2016,Prehistory and Early History,57
2016,Process Engineering,800
2016,Transport Engineering,197
2016,Transport Economics,151
2016,Surveying (Geodesy),375
2016,Supply Technology,83
2016,Administrative Science/Public Administration,393
2016,Folklore,101
2016,Economics,2475
2016,Hydraulic Engineering,116
2016,Water Management,170
2016,Viticulture and Oenology,94
2016,Handicrafts (technical)/Technology,19
2016,Handicrafts Education,1
2016,Materials Technology,446
2016,Western Slavic (general and n.e.c.),17
2016,Economic/Social Geography,22
2016,Economic/Social History,17
2016,Business Informatics,2827
2016,Business Engineering spec. in Engineering Sciences,3075
2016,Business Engineering specialising in Economics,1566
2016,Business Mathematics,757
2016,Business and Economics Education,249
2016,Business Law,1133
2016,Business and Economics,6194
2016,History of Science/History of Technology,4
2016,Dentistry,1178
2016,Customs and Tax Administration,6
2017,Waste Management,4
2017,African Studies,186
2017,Agricultural Biology,111
2017,Agricultural Economics,240
2017,Agricultural Science/Agriculture,1046
2017,Egyptology,66
2017,General Linguistics/Indo-European Studies,1045
2017,General Literary Studies,436
2017,Ancient History,18
2017,American Studies,622
2017,Applied Art,344
2017,Applied Linguistics,774
2017,Applied Systems Science,171
2017,English Studies,3955
2017,Anthropology (Human Biology),124
2017,Arabic/Arabic Studies,69
2017,Work Studies/Business Studies,72
2017,Occupational Guidance and Career Counselling,2
2017,Labour Administration,6
2017,Archaeology,291
2017,Archaeometry (Archaeological Engineering),2
2017,Architecture,4386
2017,Archive and Documentation Science,33
2017,Archive Studies,5
2017,Asian Languages and Cultures/Asian Studies,480
2017,Astrophysics and Astronomy,99
2017,Ophthalmic Optics,31
2017,Immigrant Education,62
2017,Non-Europ. Lang. and Cult. in Oceania and America,88
2017,Foreign Affairs Administration,
2017,Baltic Studies,1
2017,Banking,5
2017,Civil Engineering/Structural Engineering,2847
2017,Mining/Mine Engineering,136
2017,Occupation-specific Foreign Language Training,296
2017,"Vocational, Business and Economics Education",47
2017,Business Administration,14924
2017,Librarianship,
2017,Fine Arts/Graphics,738
2017,Sculpting/Statuary Art,113
2017,Biochemistry,757
2017,Bioinformatics,269
2017,Biology,4181
2017,Biomedicine,351
2017,Biotechnology,889
2017,Brewing Science/Beverage Technology,25
2017,Armed Forces Administration,
2017,Byzantine Studies,8
2017,Caritas Science,12
2017,Chemistry,3090
2017,Chemical Engineering/Chemical Process Technology,800
2017,Computer Linguistics,318
2017,Computer and Communication Technology,457
2017,Danish,
2017,Performing Arts/Stagecraft/Directing,256
2017,German as a Foreign or Second Language,1641
2017,Pastoral Care Studies,12
2017,Conducting,65
2017,Printing and Reproduction Technology,125
2017,Gemstone and Jewellery Design,31
2017,Electrical Power Engineering,141
2017,Electrical Engineering/Electronics,3737
2017,Energy Process Engineering,375
2017,Nutritional Science,275
2017,Adult Education and Extracurricular Youth Educat.,126
2017,Educational Science (Pedagogy),3624
2017,Ethics,67
2017,Ethnology,426
2017,European Ethnology and Cultural Studies,494
2017,European Economic Studies,192
2017,"Protestant Religious Pedagogy, Church Educat. Work",2
2017,"Protestant Theology, Protes. Religious Education",297
2017,Facility Management,82
2017,Automotive Technology,276
2017,Precision Engineering,16
2017,Manufacturing Technology/Production Engineering,327
2017,Film and Television Studies,210
2017,Financial Administration,2
2017,Finno-Ugrian Studies,14
2017,"Forest Science, Forestry",359
2017,French,610
2017,Horticulture,103
2017,Geography,622
2017,Geology/Palaeontology,106
2017,Geoecology,46
2017,Geophysics,77
2017,Geosciences general,602
2017,German Studies/German,6020
2017,Singing,433
2017,History,1584
2017,Health Education,92
2017,Health Technology,1059
2017,Health Science/Health Management,1861
2017,Glass Technology/Ceramics,7
2017,Graphic Design/Communication Design,1923
2017,Greek,62
2017,Primary School Education/Primary Level Education,130
2017,Domestic and Nutritional Sciences,415
2017,Domestic Science,2
2017,Wood and Fibre Technology,19
2017,Timber Construction,8
2017,Wood Science,18
2017,Metallurgy and Foundry,135
2017,Indology,25
2017,Industrial Design/Product Design,379
2017,Computer Science,5152
2017,Inf./Library Scien. (not at univ. of app.adm.sci.),163
2017,Computational Engineer./Technical Computer Science,552
2017,Interior Architecture,363
2017,Internal Administration,69
2017,Instrumental Music,2469
2017,Interdisc. Studies (specialising in Engineering),918
2017,Interdisc. Studies (special. in Natural Sciences),646
2017,"Interdisc. St. (spec. in Law, Econ. and Soc. Sci.)",1378
2017,Interdisc. Studies (spec. in Humanities),2566
2017,"Interdisc. Studies (special. in Art, Art Theory)",115
2017,International Business Studies/Management,6119
2017,Iranian Studies,43
2017,Islamic Studies/Islamic theology,122
2017,Islamic Studies,274
2017,Italian,340
2017,Japanese Studies,312
2017,Jazz and Popular Music,77
2017,Judaic Studies/Hebrew,62
2017,Law Enforcement,
2017,Cartography,73
2017,"Catholic Religious Pedagogy, Church Educat. Work",12
2017,"Catholic Theology, Catholic Religious Education",176
2017,Caucasian Studies,2
2017,Nucl.Techn./Nucl.Process Techn.(cl.w.SF211 s.2020),
2017,Church Music,60
2017,Classical Philology,59
2017,"Communication Technology, Information Engineering",552
2017,Communication Science/Journalism,1247
2017,Composition,99
2017,Arts Education,336
2017,"Art History, Art Theory",1176
2017,Plastics Technology,50
2017,Land Management Engineering/Landscape Design,246
2017,Landscape Ecology/Biogeography (ex. SF385 s. 2012),35
2017,Latin,53
2017,Latin America Studies,78
2017,Food Chemistry,134
2017,Food Technology,226
2017,Area of study: Humanities,195
2017,Area of study: Social Studies,11
2017,Area of study: Natural Sciences/General Studies,66
2017,Area of study: Technology,23
2017,Aeronautical and Aerospace Engineering,191
2017,Painting,142
2017,Mine Surveying,2
2017,Mechanical Engineering,3115
2017,Materials Engineering,163
2017,Math.Statistics/Prob.Calc. (class.w. SF312 s.2020),196
2017,Mathematics,2550
2017,Mechatronics,515
2017,Media Informatics,765
2017,Media Technology,229
2017,Media Economics/Media Management,529
2017,Media Science,925
2017,Medicine (General Medicine),6673
2017,Medical Informatics,342
2017,Metals Technology,8
2017,Meteorology,88
2017,Microelectronics,45
2017,Microsystems Technology,234
2017,Dairy Farming,12
2017,Mineralogy,17
2017,Medieval and Modern History,41
2017,Music Education,478
2017,Musicology/History of Music,532
2017,Nature Conservation,154
2017,Nautical Science/Maritime Studies,23
2017,New Media,215
2017,Modern Greek,61
2017,Non-medical Healthcare Professions/Therapies,553
2017,Low German,
2017,Dutch,37
2017,"Nordic/Scand. St. (Nord. Phil., ind. lang. n.e.c.)",96
2017,Optoelectronics,34
2017,Orchestral Music,573
2017,"Oriental Studies, Ancient Oriental Studies",183
2017,Eastern and South Eastern Europe Studies,134
2017,Oceanography,6
2017,Early Childhood Education,149
2017,Plant Production,31
2017,Nursing Science/Nursing Management,436
2017,Pharmacy,1459
2017,Philosophy,1229
2017,Physics,2068
2017,Engineering Physics/Mechanical Process Engineering,198
2017,Political Science,2711
2017,Police/Protection of the Constitution,37
2017,Polish,28
2017,Portuguese,18
2017,Psychology,4288
2017,Spatial Planning,584
2017,Administration of Justice,1
2017,Law,6744
2017,Renewable Energy,95
2017,Religious Studies,168
2017,Restoration Studies,58
2017,Rhythmics,3
2017,"Romance Studies (Rom. Phil., indiv. lang. n.e.c.)",916
2017,Russian,266
2017,General Studies (including School Garden),16
2017,Drama Studies,27
2017,Naval Architecture/Ship Technology,43
2017,School Pedagogy,56
2017,Sinology/Korean Studies,552
2017,Slavic Studies (Slavic Philology),582
2017,Special Needs Education,266
2017,Other subjects,937
2017,Other regional studies,95
2017,Sorabistics,3
2017,Social Work,2445
2017,Social Studies,100
2017,Social Pedagogy,241
2017,Social Security Administration,52
2017,Applied Social Science,961
2017,Social Sciences,1522
2017,Sociology,1357
2017,Spanish,715
2017,Sports Management/Sports Economics,80
2017,Sports Education/Sports Psychology,117
2017,Sports Science,333
2017,Steel Construction,
2017,"South Slavic (Bulgar., Serbo-Croat., Slovene etc.)",5
2017,Dance Education,153
2017,Technical Cybernetics,15
2017,Technomathematics,72
2017,Textile Design,396
2017,Textile and Clothing Technology/Industry,337
2017,Theatre Studies,298
2017,Veterinary Medicine,476
2017,Animal Production,20
2017,Sound Engineering,13
2017,Tourism Management,990
2017,Transport and Conveying Technology,8
2017,Czech,17
2017,Turkish Studies,99
2017,Environmental Protection,313
2017,Environmental Technology (including Recycling),657
2017,Prehistory and Early History,56
2017,Process Engineering,837
2017,Transport Engineering,232
2017,Transport Economics,143
2017,Surveying (Geodesy),418
2017,Supply Technology,87
2017,Administrative Science/Public Administration,267
2017,Folklore,89
2017,Economics,2525
2017,Hydraulic Engineering,124
2017,Water Management,188
2017,Viticulture and Oenology,93
2017,Handicrafts (technical)/Technology,22
2017,Handicrafts Education,
2017,Materials Technology,499
2017,Western Slavic (general and n.e.c.),15
2017,Economic/Social Geography,19
2017,Economic/Social History,28
2017,Business Informatics,2877
2017,Business Engineering spec. in Engineering Sciences,3305
2017,Business Engineering specialising in Economics,1554
2017,Business Mathematics,760
2017,Business and Economics Education,275
2017,Business Law,1183
2017,Business and Economics,6352
2017,History of Science/History of Technology,2
2017,Dentistry,1170
2017,Customs and Tax Administration,10
2018,Waste Management,
2018,African Studies,168
2018,Agricultural Biology,137
2018,Agricultural Economics,234
2018,Agricultural Science/Agriculture,1073
2018,Egyptology,71
2018,General Linguistics/Indo-European Studies,1015
2018,General Literary Studies,449
2018,Ancient History,21
2018,American Studies,627
2018,Applied Art,332
2018,Applied Linguistics,821
2018,Applied Systems Science,189
2018,English Studies,4052
2018,Anthropology (Human Biology),169
2018,Arabic/Arabic Studies,69
2018,Work Studies/Business Studies,75
2018,Occupational Guidance and Career Counselling,3
2018,Labour Administration,5
2018,Archaeology,283
2018,Archaeometry (Archaeological Engineering),4
2018,Architecture,4495
2018,Archive and Documentation Science,40
2018,Archive Studies,5
2018,Asian Languages and Cultures/Asian Studies,508
2018,Astrophysics and Astronomy,114
2018,Ophthalmic Optics,31
2018,Immigrant Education,53
2018,Non-Europ. Lang. and Cult. in Oceania and America,81
2018,Foreign Affairs Administration,3
2018,Baltic Studies,2
2018,Banking,4
2018,Civil Engineering/Structural Engineering,3050
2018,Mining/Mine Engineering,152
2018,Occupation-specific Foreign Language Training,254
2018,"Vocational, Business and Economics Education",52
2018,Business Administration,14998
2018,Librarianship,
2018,Fine Arts/Graphics,765
2018,Sculpting/Statuary Art,117
2018,Biochemistry,870
2018,Bioinformatics,279
2018,Biology,4414
2018,Biomedicine,382
2018,Biotechnology,957
2018,Brewing Science/Beverage Technology,17
2018,Armed Forces Administration,1
2018,Byzantine Studies,9
2018,Caritas Science,14
2018,Chemistry,3338
2018,Chemical Engineering/Chemical Process Technology,802
2018,Computer Linguistics,320
2018,Computer and Communication Technology,454
2018,Danish,1
2018,Performing Arts/Stagecraft/Directing,306
2018,German as a Foreign or Second Language,1649
2018,Pastoral Care Studies,10
2018,Conducting,69
2018,Printing and Reproduction Technology,93
2018,Gemstone and Jewellery Design,39
2018,Electrical Power Engineering,115
2018,Electrical Engineering/Electronics,4060
2018,Energy Process Engineering,397
2018,Nutritional Science,313
2018,Adult Education and Extracurricular Youth Educat.,134
2018,Educational Science (Pedagogy),3589
2018,Ethics,70
2018,Ethnology,405
2018,European Ethnology and Cultural Studies,491
2018,European Economic Studies,200
2018,"Protestant Religious Pedagogy, Church Educat. Work",4
2018,"Protestant Theology, Protes. Religious Education",294
2018,Facility Management,90
2018,Automotive Technology,304
2018,Precision Engineering,9
2018,Manufacturing Technology/Production Engineering,303
2018,Film and Television Studies,220
2018,Financial Administration,6
2018,Finno-Ugrian Studies,12
2018,"Forest Science, Forestry",397
2018,French,587
2018,Horticulture,102
2018,Geography,627
2018,Geology/Palaeontology,88
2018,Geoecology,58
2018,Geophysics,79
2018,Geosciences general,665
2018,German Studies/German,5990
2018,Singing,389
2018,History,1529
2018,Health Education,102
2018,Health Technology,1287
2018,Health Science/Health Management,2066
2018,Glass Technology/Ceramics,9
2018,Graphic Design/Communication Design,2009
2018,Greek,57
2018,Primary School Education/Primary Level Education,153
2018,Domestic and Nutritional Sciences,383
2018,Domestic Science,2
2018,Wood and Fibre Technology,18
2018,Timber Construction,10
2018,Wood Science,15
2018,Metallurgy and Foundry,127
2018,Indology,23
2018,Industrial Design/Product Design,406
2018,Computer Science,5883
2018,Inf./Library Scien. (not at univ. of app.adm.sci.),166
2018,Computational Engineer./Technical Computer Science,674
2018,Interior Architecture,357
2018,Internal Administration,69
2018,Instrumental Music,2488
2018,Interdisc. Studies (specialising in Engineering),988
2018,Interdisc. Studies (special. in Natural Sciences),786
2018,"Interdisc. St. (spec. in Law, Econ. and Soc. Sci.)",1519
2018,Interdisc. Studies (spec. in Humanities),2586
2018,"Interdisc. Studies (special. in Art, Art Theory)",131
2018,International Business Studies/Management,6540
2018,Iranian Studies,39
2018,Islamic Studies/Islamic theology,102
2018,Islamic Studies,266
2018,Italian,348
2018,Japanese Studies,327
2018,Jazz and Popular Music,86
2018,Judaic Studies/Hebrew,57
2018,Law Enforcement,
2018,Cartography,63
2018,"Catholic Religious Pedagogy, Church Educat. Work",14
2018,"Catholic Theology, Catholic Religious Education",176
2018,Caucasian Studies,2
2018,Nucl.Techn./Nucl.Process Techn.(cl.w.SF211 s.2020),2
2018,Church Music,55
2018,Classical Philology,45
2018,"Communication Technology, Information Engineering",575
2018,Communication Science/Journalism,1224
2018,Composition,125
2018,Arts Education,386
2018,"Art History, Art Theory",1131
2018,Plastics Technology,43
2018,Land Management Engineering/Landscape Design,291
2018,Landscape Ecology/Biogeography (ex. SF385 s. 2012),34
2018,Latin,56
2018,Latin America Studies,100
2018,Food Chemistry,131
2018,Food Technology,231
2018,Area of study: Humanities,209
2018,Area of study: Social Studies,11
2018,Area of study: Natural Sciences/General Studies,94
2018,Area of study: Technology,17
2018,Aeronautical and Aerospace Engineering,218
2018,Painting,154
2018,Mine Surveying,2
2018,Mechanical Engineering,3139
2018,Materials Engineering,166
2018,Math.Statistics/Prob.Calc. (class.w. SF312 s.2020),215
2018,Mathematics,2551
2018,Mechatronics,648
2018,Media Informatics,808
2018,Media Technology,241
2018,Media Economics/Media Management,632
2018,Media Science,892
2018,Medicine (General Medicine),7071
2018,Medical Informatics,395
2018,Metals Technology,7
2018,Meteorology,81
2018,Microelectronics,52
2018,Microsystems Technology,268
2018,Dairy Farming,17
2018,Mineralogy,15
2018,Medieval and Modern History,47
2018,Music Education,562
2018,Musicology/History of Music,529
2018,Nature Conservation,167
2018,Nautical Science/Maritime Studies,22
2018,New Media,232
2018,Modern Greek,56
2018,Non-medical Healthcare Professions/Therapies,599
2018,Low German,
2018,Dutch,29
2018,"Nordic/Scand. St. (Nord. Phil., ind. lang. n.e.c.)",99
2018,Optoelectronics,29
2018,Orchestral Music,619
2018,"Oriental Studies, Ancient Oriental Studies",161
2018,Eastern and South Eastern Europe Studies,142
2018,Oceanography,6
2018,Early Childhood Education,165
2018,Plant Production,30
2018,Nursing Science/Nursing Management,455
2018,Pharmacy,1518
2018,Philosophy,1202
2018,Physics,2268
2018,Engineering Physics/Mechanical Process Engineering,237
2018,Political Science,2755
2018,Police/Protection of the Constitution,56
2018,Polish,29
2018,Portuguese,28
2018,Psychology,4643
2018,Spatial Planning,643
2018,Administration of Justice,1
2018,Law,6623
2018,Renewable Energy,160
2018,Religious Studies,163
2018,Restoration Studies,66
2018,Rhythmics,5
2018,"Romance Studies (Rom. Phil., indiv. lang. n.e.c.)",818
2018,Russian,244
2018,General Studies (including School Garden),17
2018,Drama Studies,35
2018,Naval Architecture/Ship Technology,46
2018,School Pedagogy,47
2018,Sinology/Korean Studies,577
2018,Slavic Studies (Slavic Philology),455
2018,Special Needs Education,273
2018,Other subjects,1172
2018,Other regional studies,103
2018,Sorabistics,4
2018,Social Work,2648
2018,Social Studies,119
2018,Social Pedagogy,261
2018,Social Security Administration,55
2018,Applied Social Science,1007
2018,Social Sciences,1540
2018,Sociology,1455
2018,Spanish,694
2018,Sports Management/Sports Economics,89
2018,Sports Education/Sports Psychology,112
2018,Sports Science,380
2018,Steel Construction,
2018,"South Slavic (Bulgar., Serbo-Croat., Slovene etc.)",2
2018,Dance Education,145
2018,Technical Cybernetics,10
2018,Technomathematics,78
2018,Textile Design,442
2018,Textile and Clothing Technology/Industry,320
2018,Theatre Studies,311
2018,Veterinary Medicine,524
2018,Animal Production,18
2018,Sound Engineering,10
2018,Tourism Management,969
2018,Transport and Conveying Technology,6
2018,Czech,16
2018,Turkish Studies,114
2018,Environmental Protection,349
2018,Environmental Technology (including Recycling),648
2018,Prehistory and Early History,59
2018,Process Engineering,897
2018,Transport Engineering,242
2018,Transport Economics,155
2018,Surveying (Geodesy),425
2018,Supply Technology,77
2018,Administrative Science/Public Administration,279
2018,Folklore,85
2018,Economics,2532
2018,Hydraulic Engineering,135
2018,Water Management,196
2018,Viticulture and Oenology,80
2018,Handicrafts (technical)/Technology,29
2018,Handicrafts Education,3
2018,Materials Technology,501
2018,Western Slavic (general and n.e.c.),10
2018,Economic/Social Geography,16
2018,Economic/Social History,45
2018,Business Informatics,2964
2018,Business Engineering spec. in Engineering Sciences,3555
2018,Business Engineering specialising in Economics,1529
2018,Business Mathematics,821
2018,Business and Economics Education,291
2018,Business Law,1250
2018,Business and Economics,6383
2018,History of Science/History of Technology,1
2018,Dentistry,1194
2018,Customs and Tax Administration,17
2019,Waste Management,
2019,African Studies,179
2019,Agricultural Biology,174
2019,Agricultural Economics,260
2019,Agricultural Science/Agriculture,1047
2019,Egyptology,73
2019,General Linguistics/Indo-European Studies,1013
2019,General Literary Studies,467
2019,Ancient History,22
2019,American Studies,666
2019,Applied Art,348
2019,Applied Linguistics,838
2019,Applied Systems Science,214
2019,English Studies,4174
2019,Anthropology (Human Biology),155
2019,Arabic/Arabic Studies,78
2019,Work Studies/Business Studies,74
2019,Occupational Guidance and Career Counselling,3
2019,Labour Administration,5
2019,Archaeology,292
2019,Archaeometry (Archaeological Engineering),4
2019,Architecture,4446
2019,Archive and Documentation Science,29
2019,Archive Studies,2
2019,Asian Languages and Cultures/Asian Studies,510
2019,Astrophysics and Astronomy,122
2019,Ophthalmic Optics,45
2019,Immigrant Education,54
2019,Non-Europ. Lang. and Cult. in Oceania and America,79
2019,Foreign Affairs Administration,5
2019,Baltic Studies,1
2019,Banking,4
2019,Civil Engineering/Structural Engineering,3103
2019,Mining/Mine Engineering,193
2019,Occupation-specific Foreign Language Training,249
2019,"Vocational, Business and Economics Education",49
2019,Business Administration,15305
2019,Librarianship,
2019,Fine Arts/Graphics,778
2019,Sculpting/Statuary Art,112
2019,Biochemistry,957
2019,Bioinformatics,306
2019,Biology,4726
2019,Biomedicine,440
2019,Biotechnology,1116
2019,Brewing Science/Beverage Technology,24
2019,Armed Forces Administration,2
2019,Byzantine Studies,12
2019,Caritas Science,19
2019,Chemistry,3455
2019,Chemical Engineering/Chemical Process Technology,796
2019,Computer Linguistics,345
2019,Computer and Communication Technology,484
2019,Danish,
2019,Performing Arts/Stagecraft/Directing,332
2019,German as a Foreign or Second Language,1591
2019,Pastoral Care Studies,7
2019,Conducting,70
2019,Printing and Reproduction Technology,94
2019,Gemstone and Jewellery Design,39
2019,Electrical Power Engineering,167
2019,Electrical Engineering/Electronics,4404
2019,Energy Process Engineering,334
2019,Nutritional Science,478
2019,Adult Education and Extracurricular Youth Educat.,140
2019,Educational Science (Pedagogy),3599
2019,Ethics,73
2019,Ethnology,431
2019,European Ethnology and Cultural Studies,478
2019,European Economic Studies,205
2019,"Protestant Religious Pedagogy, Church Educat. Work",3
2019,"Protestant Theology, Protes. Religious Education",293
2019,Facility Management,97
2019,Automotive Technology,326
2019,Precision Engineering,13
2019,Manufacturing Technology/Production Engineering,292
2019,Film and Television Studies,235
2019,Financial Administration,2
2019,Finno-Ugrian Studies,15
2019,"Forest Science, Forestry",379
2019,French,578
2019,Horticulture,89
2019,Geography,641
2019,Geology/Palaeontology,75
2019,Geoecology,58
2019,Geophysics,98
2019,Geosciences general,724
2019,German Studies/German,5832
2019,Singing,390
2019,History,1548
2019,Health Education,128
2019,Health Technology,1461
2019,Health Science/Health Management,2225
2019,Glass Technology/Ceramics,10
2019,Graphic Design/Communication Design,2285
2019,Greek,62
2019,Primary School Education/Primary Level Education,178
2019,Domestic and Nutritional Sciences,418
2019,Domestic Science,1
2019,Wood and Fibre Technology,16
2019,Timber Construction,11
2019,Wood Science,16
2019,Metallurgy and Foundry,112
2019,Indology,26
2019,Industrial Design/Product Design,424
2019,Computer Science,6580
2019,Inf./Library Scien. (not at univ. of app.adm.sci.),165
2019,Computational Engineer./Technical Computer Science,856
2019,Interior Architecture,346
2019,Internal Administration,74
2019,Instrumental Music,2472
2019,Interdisc. Studies (specialising in Engineering),1052
2019,Interdisc. Studies (special. in Natural Sciences),894
2019,"Interdisc. St. (spec. in Law, Econ. and Soc. Sci.)",1542
2019,Interdisc. Studies (spec. in Humanities),2674
2019,"Interdisc. Studies (special. in Art, Art Theory)",137
2019,International Business Studies/Management,6703
2019,Iranian Studies,40
2019,Islamic Studies/Islamic theology,135
2019,Islamic Studies,185
2019,Italian,346
2019,Japanese Studies,350
2019,Jazz and Popular Music,75
2019,Judaic Studies/Hebrew,66
2019,Law Enforcement,
2019,Cartography,51
2019,"Catholic Religious Pedagogy, Church Educat. Work",23
2019,"Catholic Theology, Catholic Religious Education",167
2019,Caucasian Studies,3
2019,Nucl.Techn./Nucl.Process Techn.(cl.w.SF211 s.2020),2
2019,Church Music,53
2019,Classical Philology,38
2019,"Communication Technology, Information Engineering",637
2019,Communication Science/Journalism,1224
2019,Composition,125
2019,Arts Education,403
2019,"Art History, Art Theory",1111
2019,Plastics Technology,34
2019,Land Management Engineering/Landscape Design,267
2019,Landscape Ecology/Biogeography (ex. SF385 s. 2012),31
2019,Latin,54
2019,Latin America Studies,104
2019,Food Chemistry,130
2019,Food Technology,238
2019,Area of study: Humanities,195
2019,Area of study: Social Studies,8
2019,Area of study: Natural Sciences/General Studies,96
2019,Area of study: Technology,15
2019,Aeronautical and Aerospace Engineering,231
2019,Painting,154
2019,Mine Surveying,5
2019,Mechanical Engineering,3192
2019,Materials Engineering,279
2019,Math.Statistics/Prob.Calc. (class.w. SF312 s.2020),281
2019,Mathematics,2588
2019,Mechatronics,776
2019,Media Informatics,842
2019,Media Technology,278
2019,Media Economics/Media Management,641
2019,Media Science,911
2019,Medicine (General Medicine),7360
2019,Medical Informatics,419
2019,Metals Technology,6
