year,field,foreign_female_by_field
2013,Microsystems Technology,157
2013,Dairy Farming,10
2013,Mineralogy,17
2013,Medieval and Modern History,69
2013,Music Education,449
2013,Musicology/History of Music,495
2013,Nature Conservation,148
2013,Nautical Science/Maritime Studies,11
2013,New Media,148
2013,Modern Greek,36
2013,Non-medical Healthcare Professions/Therapies,307
2013,Low German,
2013,Dutch,35
2013,"Nordic/Scand. St. (Nord. Phil., ind. lang. n.e.c.)",113
2013,Optoelectronics,26
2013,Orchestral Music,474
2013,"Oriental Studies, Ancient Oriental Studies",203
2013,Eastern and South Eastern Europe Studies,141
2013,Oceanography,9
2013,Early Childhood Education,57
2013,Plant Production,11
2013,Nursing Science/Nursing Management,283
2013,Pharmacy,1162
2013,Philosophy,896
2013,Physics,1430
2013,Engineering Physics/Mechanical Process Engineering,124
2013,Political Science,2391
2013,Police/Protection of the Constitution,32
2013,Polish,43
2013,Portuguese,48
2013,Psychology,3373
2013,Spatial Planning,476
2013,Administration of Justice,
2013,Law,6446
2013,Renewable Energy,45
2013,Religious Studies,150
2013,Restoration Studies,56
2013,Rhythmics,12
2013,"Romance Studies (Rom. Phil., indiv. lang. n.e.c.)",1063
2013,Russian,315
2013,General Studies (including School Garden),2
2013,Drama Studies,29
2013,Naval Architecture/Ship Technology,14
2013,School Pedagogy,27
2013,Sinology/Korean Studies,444
2013,Slavic Studies (Slavic Philology),746
2013,Special Needs Education,185
2013,Other subjects,620
2013,Other regional studies,80
2013,Sorabistics,4
2013,Social Work,1565
2013,Social Studies,99
2013,Social Pedagogy,145
2013,Social Security Administration,1
2013,Applied Social Science,854
2013,Social Sciences,1250
2013,Sociology,1327
2013,Spanish,713
2013,Sports Management/Sports Economics,51
2013,Sports Education/Sports Psychology,142
2013,Sports Science,233
2013,Speech Therapy/Logopedics (cl.w. SF190 since 2016),21
2013,Steel Construction,
2013,"South Slavic (Bulgar., Serbo-Croat., Slovene etc.)",13
2013,Dance Education,128
2013,Technical Cybernetics,10
2013,Technomathematics,39
2013,Textile Design,406
2013,Textile and Clothing Technology/Industry,308
2013,Theatre Studies,287
2013,Veterinary Medicine,388
2013,Animal Production,17
2013,Sound Engineering,13
2013,Tourism Management,716
2013,Transport and Conveying Technology,17
2013,Czech,7
2013,Turkish Studies,103
2013,Environmental Protection,245
2013,Environmental Technology (including Recycling),499
2013,Prehistory and Early History,43
2013,Process Engineering,686
2013,Ed.of P.w.Behav.Disorders (cl.w. SF190 since 2016),14
2013,Transport Engineering,171
2013,Transport Economics,103
2013,Surveying (Geodesy),285
2013,Supply Technology,74
2013,Administrative Science/Public Administration,309
2013,Folklore,146
2013,Economics,1983
2013,Hydraulic Engineering,71
2013,Water Management,185
2013,Viticulture and Oenology,36
2013,Handicrafts (technical)/Technology,14
2013,Handicrafts Education,
2013,Materials Technology,433
2013,Western Slavic (general and n.e.c.),47
2013,Economic/Social Geography,20
2013,Economic/Social History,16
2013,Business Informatics,2120
2013,Business Engineering spec. in Engineering Sciences,2003
2013,Business Engineering specialising in Economics,1501
2013,Business Mathematics,650
2013,Business and Economics Education,232
2013,Business Law,932
2013,Business and Economics,5677
2013,History of Science/History of Technology,18
2013,Dentistry,1070
2013,Customs and Tax Administration,1
2014,Waste Management,2
2014,African Studies,196
2014,Agricultural Biology,81
2014,Agricultural Economics,189
2014,Agricultural Science/Agriculture,894
2014,Egyptology,36
2014,General Linguistics/Indo-European Studies,939
2014,General Literary Studies,528
2014,Ancient History,21
2014,American Studies,487
2014,Applied Art,288
2014,Applied Linguistics,787
2014,Applied Systems Science,131
2014,English Studies,3433
2014,Anthropology (Human Biology),91
2014,Arabic/Arabic Studies,48
2014,Work Studies/Business Studies,55
2014,Occupational Guidance and Career Counselling,2
2014,Labour Administration,6
2014,Archaeology,278
2014,Archaeometry (Archaeological Engineering),
2014,Architecture,4103
2014,Archive and Documentation Science,25
2014,Archive Studies,8
2014,Asian Languages and Cultures/Asian Studies,350
2014,Astrophysics and Astronomy,70
2014,Ophthalmic Optics,29
2014,Immigrant Education,47
2014,Non-Europ. Lang. and Cult. in Oceania and America,69
2014,Foreign Affairs Administration,
2014,Baltic Studies,2
2014,Banking,4
2014,Civil Engineering/Structural Engineering,2494
2014,Mining/Mine Engineering,78
2014,Occupation-specific Foreign Language Training,270
2014,"Vocational, Business and Economics Education",97
2014,Business Administration,13633
2014,Librarianship,
2014,Fine Arts/Graphics,584
2014,Sculpting/Statuary Art,130
2014,Biochemistry,493
2014,Bioinformatics,161
2014,Biology,3402
2014,Biomedicine,250
2014,Biotechnology,634
2014,Ed.of Blind a.Visually Imp.(cl.w.SF190 since 2016),
2014,Brewing Science/Beverage Technology,36
2014,Armed Forces Administration,
2014,Byzantine Studies,8
2014,Caritas Science,16
2014,Chemistry,2630
2014,Chemical Engineering/Chemical Process Technology,723
2014,Computer Linguistics,279
2014,Computer and Communication Technology,201
2014,Danish,
2014,Performing Arts/Stagecraft/Directing,274
2014,German as a Foreign or Second Language,935
2014,Pastoral Care Studies,10
2014,Conducting,76
2014,Printing and Reproduction Technology,180
2014,Gemstone and Jewellery Design,30
2014,Electrical Power Engineering,101
2014,Electrical Engineering/Electronics,2955
2014,Energy Process Engineering,286
2014,Nutritional Science,193
2014,Adult Education and Extracurricular Youth Educat.,123
2014,Ed.of People w.Emot.Diff. (cl.w. SF190 since 2016),26
2014,Educational Science (Pedagogy),3621
2014,Ethics,46
2014,Ethnology,399
2014,European Ethnology and Cultural Studies,406
2014,European Economic Studies,229
2014,"Protestant Religious Pedagogy, Church Educat. Work",12
2014,"Protestant Theology, Protes. Religious Education",261
